Qty;Value;Device;Package;Parts;Description;;;;;;;;;;;;;;
2;;10-XX;B3F-10XX;BOOT, EN;OMRON SWITCH;;;;;;;;;;;;;;
1;;DIODE-SOD123;SOD123;D4;DIODE;;;;;;;;;;;;;;
2;;LEDCHIP-LED0805;CHIP-LED0805;ESTADO, RTU;LED;;;;;;;;;;;;;;
1;;PINHD-1X3;1X03;GPIO;PIN HEADER;;;;;;;;;;;;;;
3;;R-US_R0805;R0805;R1, R2, R18;RESISTOR, American symbol;;;;;;;;;;;;;;
2;;SJ;SJ;INT, WP;SMD solder JUMPER;;;;;;;;;;;;;;
1;;W237-102;W237-102;X4;WAGO SCREW CLAMP;;;;;;;;;;;;;;
1;;W237-103;W237-103;MODBUS;WAGO SCREW CLAMP;;;;;;;;;;;;;;
6;0.1uF;C-EUC0805K;C0805K;C9, C10, C11, C12, C25, C29;CAPACITOR, European symbol;;;;;;;;;;;;;;
1;0.1uF;C-USC0805K;C0805K;C26;CAPACITOR, American symbol;;;;;;;;;;;;;;
9;100n;C-EUC0603;C0603;C2, C4, C5, C6, C7, C15, C16, C17, C18;CAPACITOR, European symbol;;;;;;;;;;;;;;
2;100u;CPOL-EUD;PANASONIC_D;C1, C3;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;;;;
1;100uF;CPOL-EUE2-5;E2-5;C30;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;;;;
2;10K;4R-NCAY16;CAY16;RN4, RN9;Array Chip Resistor;;;;;;;;;;;;;;
4;10K;R-US_M0805;M0805;R7, R8, R12, R13;RESISTOR, American symbol;;;;;;;;;;;;;;
1;10K;R-US_R0805;R0805;R4;RESISTOR, American symbol;;;;;;;;;;;;;;
2;10u;CPOL-EUSMCB;SMC_B;C19, C20;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;;;;
5;10uF;C-EUC0805K;C0805K;C8, C22, C23, C24, C28;CAPACITOR, European symbol;;;;;;;;;;;;;;
1;10uF;C-USC0805K;C0805K;C27;CAPACITOR, American symbol;;;;;;;;;;;;;;
1;120;R-US_M0805;M0805;R17;RESISTOR, American symbol;;;;;;;;;;;;;;
2;12K;R-US_R0805;R0805;R5, R6;RESISTOR, American symbol;;;;;;;;;;;;;;
1;12k 1%;R-EU_R0603;R0603;R10;RESISTOR, European symbol;;;;;;;;;;;;;;
